"Exercicio","Mes","Orgao","Cargo","Quantidade","Regime","Ativo"
"2013","1","PBPREV - INATIVO","AGENTE AUX ATVI ADMINISTRAT","41","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE AUX ATVI OPERACIONAL","5","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE ATIV. ADMINISTRAT","141","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE ATV. OPERACIONAIS","14","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ARTIFICE","20","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ARTIFICE","9","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ADMINISTRADOR","98","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ADVOGADO","28","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","BIBLIOTECARIO","43","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","CONTADOR","34","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ECONOMISTA","43","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ESTATISTICO","4","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","SOCIOLOGO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","TECNICO COMUNICACAO SOCIAL","5","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","TECNICO DE NIVEL SUPERIOR","24","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUDITOR DE CONTAS PUBLICAS","18","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR CONTROLE INTERNO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","DEFENSOR PUBLICO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","DEFENSOR PUBLICO 1A ENTRANCIA","80","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","DEFENSOR PUBLICO 2A ENTRANCIA","28","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","DEFENSOR PUBLICO 3A ENTRANCIA","66","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","DEFENSOR PUBLICO ESPECIAL","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ARQUIVISTA  PESQUISADOR","5","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","DIAGRAMADOR","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ILUSTRADOR","65","ESTATUTARIO INATIVO","Inativos"
