"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"27901","FUNDO ESTADUAL DA CRIANCA E DO ADOLESCENTE","480001","FUNDO ESTADUAL DA CRIANCA E DO ADOLESCENTE","760483.04","609292.04","151191.00"
"27901","FUND DESENV CRIANCA E ADOLESCENTE ALICE ALMEIDA","270101","FUNDO ESTADUAL DA CRIANCA E DO ADOLESCENTE","14996.00","14996.00","0.00"
"27902","FUND DESENV CRIANCA E ADOLESCENTE ALICE ALMEIDA","270101","FUNDO ESTADUAL DE ASSISTENCIA SOCIAL - FEAS","29999.02","29999.02","0.00"
"27902","FUNDO ESTADUAL DE ASSISTENCIA SOCIAL","500001","FUNDO ESTADUAL DE ASSISTENCIA SOCIAL - FEAS","4710298.61","4307386.03","402912.58"
"27903","FUNDO ESTADUAL DE HAB E REG FUNDIARIA DE INTER SOCIAL","710001","FUNDO ESTADUAL DE HAB E REGUL FUNDIARIA DE INTER GERAL","137500.00","137500.00","0.00"
"28101","DEPARTAMENTO DE ESTRADAS E RODAGEM","340101","GABINETE DO SECRETARIO","2100131.15","2100131.15","0.00"
"28101","SEC DE EST DO MEIO AMB DOS REC HID DA CIEN E TECNOLOGIA","280001","GABINETE DO SECRETARIO","29353551.30","29316613.24","36938.06"
"28201","SUPERINTENDENCIA DE ADMINISTRACAO DO MEIO AMBIENTE","280101","SUPERINTENDENCIA DE ADMINISTRACAO DO MEIO AMBIENTE","10064229.45","9419124.17","645105.28"
"28204","FUNDACAO DE APOIO A PESQUISA DO ESTADO DA PB - FAPESQ","280401","FUNDACAO DE APOIO A PESQUISA DO ESTADO DA PARAIBA","7633946.94","4488102.22","3145844.72"
"28205","AGENCIA EXECUTIVA DE GESTAO DAS AGUAS DO ESTADO DA PB","280501","AGENCIA EXECUTIVA DE GESTAO DAS AGUAS DO ESTADO DA PB","2331560.97","2298767.70","32793.27"
"28901","FUNDO ESTADUAL DE PROTECAO AO MEIO AMBIENTE","590001","FUNDO ESTADUAL DE PROTECAO AO MEIO AMBIENTE","42786.02","32287.02","10499.00"
"28902","FUNDO ESTADUAL DE RECURSOS HIDRICOS","610001","FUNDO ESTADUAL DE RECURSOS HIDRICOS","97827.89","97827.89","0.00"
"2901","FUNDO DE FISCALIZACAO ORCAMENTARIA E FINANC MUNICIPAL","630001","FUNDO DE FISCALIZACAO ORCAMENTARIA E FINANCEIRA MUNICIP","196000.00","196000.00","0.00"
"29101","SECRETARIA DE ESTADO DA COMUNICACAO INSTITUCIONAL","290001","GABINETE DO SECRETARIO","45940398.95","43814865.25","2125533.70"
"29202","A UNIAO - SUP. DE IMPRENSA E EDITORA","290201","A UNIAO SUPERINTENDENCIA DE IMPRENSA E EDITORA","9420319.04","8492660.07","927658.97"
"29203","RADIO TABAJARA - SUPERINTENDENCIA DE RADIODIFUSAO","290301","RADIO TABAJARA - SUPERINTENDENCIA DE RADIODIFUSAO","3464825.06","3320384.14","144440.92"
"30101","ENCARGOS GERAIS DO ESTADO - SUP SEC ADMINISTRACAO","300001","RECURSOS SOB SUPERVISAO DA SECRETARIA DA ADMINISTRACAO","147530553.68","133819176.48","13711377.20"
"30102","ENCARGOS GERAIS DO ESTADO - SUP FINANCAS","300002","RECURSOS SOB SUPERVISAO DA SEC DE ESTADO DAS FINANCAS","517584886.81","514856792.64","2728094.17"
"32101","SECRETARIA DE ESTADO DO PLANEJAMENTO E GESTAO","320001","GABINETE DO SECRETáRIO","17272803.71","16992613.53","280190.18"
"32102","SECRETARIA DE ESTADO DO PLANEJAMENTO E GESTAO","320001","PROGRAMA ESTADUAL ORIENTCAO PROTECAO COMSUMIDOR","823191.00","823191.00","0.00"
"32201","IDEME - INST DE DESENV MUNICIPAL E ESTADUAL","320101","INSTITUTO DE DESENVOLVIMENTO MUNICIPAL E ESTADUAL IDEME","477586.31","477586.31","0.00"
"32901","FUNDO DE COMBATE E ERRADICACAO DA POBREZA NO ESTADO PB","670001","FUND DE COMBATE E ERRADICAÇÃO DA POBR NO EST DA PARAÍBA","10996833.32","8675926.42","2320906.90"
"32902","FUNDO DE DESENVOLVIMENTO DO ESTADO DA PARAIBA","750001","FUNDO DE DESENVOLVIMENTO DO ESTADO DA PARAIBA","1298637.86","1298637.86","0.00"
"33101","PROJETO COOPERAR DO ESTADO DA PARAIBA","330001","PROJETO NORDESTE","35603375.29","32847450.57","2755924.72"
"34101","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","GABINETE DO SECRETARIO","73981273.30","72761398.05","1219875.25"
"34102","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","COMISSAO DE DEFESA CIVIL DO ESTADO DA PARAIBA","19795602.44","18200628.19","1594974.25"
"34103","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","UNIDADE EXECUTIVA LOCAL - PAC NA PARAIBA","26022188.63","23455464.91","2566723.72"
"34201","DEPARTAMENTO DE ESTRADAS E RODAGEM","340101","DEPARTAMENTO DE ESTRADAS DE RODAGEM - DER","225166555.64","215961977.97","9204577.67"
"34202","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SUPERINTENDENCIA DE OBRAS DO PLANO DE DESENV DO ESTADO","97699221.97","96178239.35","1520982.62"
"34203","COMPANHIA DOCAS DA PARAIBA","340301","COMPANHIA DOCAS DA PARAIBA","12322823.87","11647872.51","674951.36"
"34206","COMPANHIA DE AGUA E ESGOTOS DO ESTADO DA PARAIBA","340601","COMPANHIA DE AGUA E ESGOTOS DO ESTADO DA PARAIBA CAGEPA","27252574.78","25079488.57","2173086.21"
"35101","SEC DE ESTADO DO DESENV DA AGROPECUARIA E DA PESCA","350001","GABINETE DO SECRETÁRIO","28698899.55","28650678.13","48221.42"
"35201","EMATER - EMP. DE ASSISTENCIA TECNICA E EXTENCAO RURAL","350101","EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DA PB","93301559.20","91429972.28","1871586.92"
"35202","EMEPA - EMP. ESTADUAL DE PESQUISA AGRO. DA PARAIBA","350201","EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DA PARAIBA","20902985.65","18950088.30","1952897.35"
"35203","INTERPA - INS. DE TERRAS E PLAN. AGRI. EST. DA PARAIBA","350301","INSTITUTO DE TERRAS E PLANEJ AGRIC DO EST DA PARAIBA","10399693.37","9895262.72","504430.65"
"35204","EMPASA - EMP. PARAIBANA DE ABAST. E SERV. AGRICOLAS","350401","EMPRESA PARAIBANA DE ABASTECIMENTO E SERV AGRICOLAS PB","25228578.95","24462946.55","765632.40"
"35901","FUNDO DE DESENVOLVIMENTO AGROPECUARIO DO ESTADO DA PB","680001","FUNDO DE DESENV AGROPECUARIO DO ESTADO DA PARAíBA","17581825.18","12340334.92","5241490.26"
"36101","SECRETARIA DE ESTADO DA EDUCACAO","220001","GABINETE DO SECRETARIO","600000.00","600000.00","0.00"
"36101","SECRETARIA DE ESTADO DA CULTURA","360001","GABINETE DO SECRETARIO","3674175.63","3406751.28","267424.35"
"36201","FUNDACAO ESPACO CULTURAL DA PARAIBA","360101","FUNDACAO ESPACO CULTURAL DO ESTADO DA PARAIBA","5542922.96","5358305.97","184616.99"
"36203","FUNDACAO CASA DE JOSE AMERICO","360301","FUNDACAO CASA DE JOSE AMERICO","692590.96","676332.13","16258.83"
